filepath,duration,analyse_harmonics,get_number_sylls,get_number_words,pauses,get_max_intensity,analyse_intensity,analyse_pitch,analyse_pitch_range,analyse_shimmer,analyse_jitter,spectral_slope,mean_spectral_rolloff,get_energy
hx99824cif971_processed_2,10.0,11.172838967417178,0.9,0.8,0.6,104.949554700791,73.67716296640869,183.76109136042945,289.50023911752544,0.1103290431403005,0.0208925578527339,-0.0556033713157778,1355.429736267166,0.0940413708787916
hx99824cif971_processed_3,3.5300226757369613,9.582893964016131,,,0.28328611898017,104.97693667773812,75.7286077599531,195.2509730479728,505.2138244742997,0.1514388199122947,0.0259395325576511,-0.0895304397750525,1300.066944567138,0.0530819174069426
hxx6a6sw3ty51_processed_0,10.0,11.46388465949408,2.1,1.8,1.2,98.88059822720793,67.61074273602142,205.4361807057515,457.09697129448057,0.1012848881395137,0.0185537839677492,-0.013729198341303,1414.6635553214733,0.0229785113827383
hxx6a6sw3ty51_processed_1,10.0,10.09572617894939,5.6,4.0,0.6,97.95004459914728,68.10489621119568,179.82194275737726,391.7040343000021,0.1233386681860647,0.0207320882629544,-0.0170756562367973,1620.857229244694,0.0259238977464022
hxx6a6sw3ty51_processed_10,10.0,9.18100260428969,0.6,0.5,0.3,99.28186457380454,69.55259418703325,100.85463489568336,410.2121879610422,0.152472790109058,0.0542764216682972,-0.0273897371612819,1316.7652982599875,0.0360304837484533
hxx6a6sw3ty51_processed_11,10.0,6.329441372508046,0.6,0.5,0.5,102.21860346761974,67.36967079958283,247.84546885455333,471.8966502778178,0.1982700778959994,0.0412677043246858,-0.0140225102951931,1436.4576018258426,0.0218538404498055
hxx6a6sw3ty51_processed_12,10.0,13.013454206796377,3.7,2.5,0.8,99.41683339172648,69.00417678910767,202.00107236578413,469.9030427792351,0.1140843972333232,0.0176414335943878,-0.0209808943234132,1468.8987398564295,0.0316570794937821
hxx6a6sw3ty51_processed_13,10.0,11.507901344779368,3.3,2.1,1.5,98.30222975987172,67.52693262408671,190.8747300652577,493.5172224876977,0.1098655682797551,0.0172861571463802,-0.0142600050138807,1954.5660697565545,0.0225376892783242
hxx6a6sw3ty51_processed_14,10.0,12.27430878398586,3.5,2.6,0.6,99.98108041433628,68.93962662387993,225.5952795329294,506.1600841811171,0.1241543992364301,0.01946795163351,-0.0205427812127815,1222.0411741182895,0.0312599212401401
hxx6a6sw3ty51_processed_15,10.0,10.022307577846744,2.8,2.5,0.9,98.81835452759822,67.95853397223142,212.79613832775328,515.2547153230602,0.1249767090789918,0.0198503779000985,-0.0157826917852908,1792.28540008583,0.0250300915303572
hxx6a6sw3ty51_processed_16,4.657006802721089,9.005458708745527,2.5767661584711186,1.503113592441486,1.2883830792355593,98.0316157319728,66.72520477066575,249.25615624735488,293.3407236279678,0.1355706190126229,0.0225567803070727,-0.0103259502865383,1881.5139075067025,0.0087085536317948
hxx6a6sw3ty51_processed_2,10.0,10.7760378804736,1.8,1.1,0.7,99.91764701050896,67.97464154087412,160.67684435518336,440.8698944318281,0.1187023806746145,0.0203409978507694,-0.0172493562094703,1391.4698911516855,0.0250724241304803
hxx6a6sw3ty51_processed_3,10.0,11.259177183549564,4.1,2.3,0.8,98.40566872356236,68.54530153713897,237.53238345005175,512.4414258028116,0.1239526789869835,0.0193100770280901,-0.0179382090978449,2209.1215326544943,0.028555211972484
hxx6a6sw3ty51_processed_4,10.0,10.24704947723667,2.5,2.3,1.4,97.40627156994378,66.30193190191095,173.68811887213275,439.5409280517832,0.1163854643511759,0.0202614953428764,-0.0111237054638064,1223.0658941947563,0.0170457576316208
hxx6a6sw3ty51_processed_5,10.0,10.4303844161904,1.5,1.2,1.6,97.7318299167182,66.28215933155198,199.99441006377097,401.8232903285128,0.1100593684479774,0.018212081344106,-0.0107086880611058,1732.22680633583,0.0170756448489652
hxx6a6sw3ty51_processed_6,10.0,10.569857488148555,2.3,1.6,0.3,99.76052395383384,68.42620095853346,223.22172117371647,432.399392505525,0.1325899682798572,0.0183459197738965,-0.0181779761959915,1780.4386362749688,0.0277360332485986
hxx6a6sw3ty51_processed_7,10.0,9.83359133205844,,,0.1,99.11079134320887,70.01865889626846,99.05996536096347,313.8165353013373,0.1810943829786686,0.0559169107306876,-0.0334362576775597,668.1424830290263,0.0399021775817964
hxx6a6sw3ty51_processed_8,10.0,12.012250793253504,3.7,2.8,1.1,99.32392574349151,68.57861047375985,231.42258553145845,442.753427632303,0.1038032414668252,0.0185428115667878,-0.0179032577715633,2133.4921923767165,0.0287090602463916
hxx6a6sw3ty51_processed_9,10.0,10.069996416254613,2.9,2.1,0.7,99.57026854951287,67.88134714357761,182.72447520588372,510.9059880285787,0.1268648536035154,0.0211680583889527,-0.0154894050156263,1833.9490188046195,0.0244869148143819
i294za8r11371_processed_0,10.0,14.02767713307884,0.2,0.2,0.4,111.91478131381622,78.73451762226635,419.0647181250007,519.2971561587996,0.1091112957474898,0.019617907615027,-0.1299764444644297,1505.0888537765293,0.3029838129799173
i294za8r11371_processed_1,10.0,15.858488704457727,0.6,0.4,0.3,113.73395538879372,80.56343067175236,353.9057139710489,518.2569631266589,0.090526880516081,0.0164389545338276,-0.2167591874562436,1429.109609082397,0.4571931829337263
i294za8r11371_processed_2,5.793015873015873,12.563721000556043,,,0.1726221301570861,105.82663964959757,73.12019431117936,237.3745999820725,421.9367527596063,0.0971053348202641,0.0155192103001785,-0.0502434933575801,1281.854037580819,0.0471022362573421
i35rsfl9ye561_processed_0,10.0,9.970373838127705,,,0.2,106.0092046506744,72.24327005343979,370.48158620075975,518.5249472678436,0.1350608778096476,0.0208787968713541,-0.0339070485341051,1252.7077968945068,0.066825932712624
i35rsfl9ye561_processed_1,10.0,6.969191101466383,,,0.1,105.06030901022926,69.05070406577384,350.6032428432012,501.32652981348815,0.1828813252236712,0.0267338447496402,-0.0177980570103073,925.3472222222222,0.0319957312288024
i35rsfl9ye561_processed_2,10.0,10.739080887711047,0.6,0.6,0.1,105.43327076285684,72.15151387853447,340.39514910692293,523.7348877490981,0.1126856926940684,0.0150379600532357,-0.0301321218844692,1243.6102820692884,0.0653052857702859
i35rsfl9ye561_processed_3,4.430022675736962,8.941234106361595,,,0.2257336343115124,101.73161102937392,68.42491905702394,312.6608463776336,474.7456807875992,0.1487598487573952,0.024172222604083,-0.0133348201051537,1198.1830435739437,0.0122251153720426
i3jp22c6gua71_processed_10,10.0,8.71866281348989,0.3,0.4,0.1,108.00032225297734,73.13092248914688,325.1745469819353,503.35020045447095,0.1344054098097263,0.0240815480514206,-0.0285662707979411,1534.80573599407,0.081821753357896
i3jp22c6gua71_processed_11,10.0,13.703206210216932,,,0.2,107.0640379537278,72.64309128211175,421.0901160087613,475.3455392190031,0.1625615659933509,0.0248126597309695,-0.0274914189352874,1554.700301381086,0.0731262745606363
i3jp22c6gua71_processed_12,10.0,8.255135507843413,,,0.3,105.04298530242508,72.36081048768908,191.1673485365756,514.4396699271045,0.142963680258946,0.0243926601966581,-0.0356485183730284,1348.7065728386392,0.0686473096984991
i3jp22c6gua71_processed_13,10.0,7.827657504719941,,,0.2,109.350243541585,75.15077796877722,342.63951157064497,486.4722240872943,0.1578770837272844,0.038771925017149,-0.0518688591082496,1603.636933325531,0.1309159367049821
i3jp22c6gua71_processed_14,10.0,6.2078068600019085,,,0.1,106.3765016024943,71.3973166071659,248.0347106538279,512.3916252166978,0.1331463751734218,0.0270697044703496,-0.0294841978373054,1290.9473509675406,0.0556158431720056
i3jp22c6gua71_processed_15,10.0,7.532818361908181,,,0.2,106.08359090173464,74.63233038735463,457.6390319620351,522.9896300486827,0.1606326435348015,0.0427617199418655,-0.0371400773606559,1990.7811768492509,0.1157544301172504
i3jp22c6gua71_processed_16,10.0,0.1919892856701494,,,0.1,96.07214813950247,63.61243799946929,231.4187735039327,449.6231174185557,0.2238313830433341,0.0510939986074175,-0.0063158592560429,897.6547869850187,0.0093941065034838
i3jp22c6gua71_processed_17,10.0,9.978664216931657,0.8,0.5,0.1,105.70672400508845,72.69372915969517,220.05031953687757,372.1465626914288,0.1542460913817979,0.0307837390074159,-0.0498768507489714,985.5057886626092,0.07443185146964
